audio_fp,video_fp,split,dataset
train/wav/001_24_F_JKYS_001.wav,train/mp4/001_24_F_JKYS_001.mp4,train,ChineseLips
train/wav/001_24_F_JKYS_002.wav,train/mp4/001_24_F_JKYS_002.mp4,train,ChineseLips
train/wav/001_24_F_JKYS_003.wav,train/mp4/001_24_F_JKYS_003.mp4,train,ChineseLips
train/wav/001_24_F_JKYS_004.wav,train/mp4/001_24_F_JKYS_004.mp4,train,ChineseLips
train/wav/001_24_F_JKYS_005.wav,train/mp4/001_24_F_JKYS_005.mp4,train,ChineseLips
train/wav/001_24_F_JKYS_006.wav,train/mp4/001_24_F_JKYS_006.mp4,train,ChineseLips
train/wav/001_24_F_JKYS_007.wav,train/mp4/001_24_F_JKYS_007.mp4,train,ChineseLips
train/wav/001_24_F_JKYS_008.wav,train/mp4/001_24_F_JKYS_008.mp4,train,ChineseLips
train/wav/001_24_F_JKYS_009.wav,train/mp4/001_24_F_JKYS_009.mp4,train,ChineseLips
train/wav/001_24_F_JKYS_010.wav,train/mp4/001_24_F_JKYS_010.mp4,train,ChineseLips
train/wav/001_24_F_JKYS_011.wav,train/mp4/001_24_F_JKYS_011.mp4,train,ChineseLips
train/wav/001_24_F_JKYS_012.wav,train/mp4/001_24_F_JKYS_012.mp4,train,ChineseLips
train/wav/001_24_F_JKYS_013.wav,train/mp4/001_24_F_JKYS_013.mp4,train,ChineseLips
train/wav/001_24_F_JKYS_014.wav,train/mp4/001_24_F_JKYS_014.mp4,train,ChineseLips
train/wav/001_24_F_JKYS_015.wav,train/mp4/001_24_F_JKYS_015.mp4,train,ChineseLips
train/wav/001_24_F_JKYS_016.wav,train/mp4/001_24_F_JKYS_016.mp4,train,ChineseLips
train/wav/001_24_F_JKYS_017.wav,train/mp4/001_24_F_JKYS_017.mp4,train,ChineseLips
train/wav/001_24_F_JKYS_018.wav,train/mp4/001_24_F_JKYS_018.mp4,train,ChineseLips
train/wav/001_24_F_JKYS_019.wav,train/mp4/001_24_F_JKYS_019.mp4,train,ChineseLips
train/wav/001_24_F_JKYS_020.wav,train/mp4/001_24_F_JKYS_020.mp4,train,ChineseLips
train/wav/001_24_F_JKYS_021.wav,train/mp4/001_24_F_JKYS_021.mp4,train,ChineseLips
train/wav/001_24_F_JKYS_022.wav,train/mp4/001_24_F_JKYS_022.mp4,train,ChineseLips
train/wav/001_24_F_JKYS_023.wav,train/mp4/001_24_F_JKYS_023.mp4,train,ChineseLips
train/wav/001_24_F_JKYS_024.wav,train/mp4/001_24_F_JKYS_024.mp4,train,ChineseLips
train/wav/001_24_F_JKYS_025.wav,train/mp4/001_24_F_JKYS_025.mp4,train,ChineseLips
train/wav/001_24_F_JKYS_026.wav,train/mp4/001_24_F_JKYS_026.mp4,train,ChineseLips
train/wav/001_24_F_JKYS_027.wav,train/mp4/001_24_F_JKYS_027.mp4,train,ChineseLips
train/wav/001_24_F_JKYS_028.wav,train/mp4/001_24_F_JKYS_028.mp4,train,ChineseLips
train/wav/001_24_F_JKYS_029.wav,train/mp4/001_24_F_JKYS_029.mp4,train,ChineseLips
train/wav/001_24_F_JKYS_030.wav,train/mp4/001_24_F_JKYS_030.mp4,train,ChineseLips
train/wav/001_24_F_JKYS_031.wav,train/mp4/001_24_F_JKYS_031.mp4,train,ChineseLips
train/wav/001_24_F_JKYS_032.wav,train/mp4/001_24_F_JKYS_032.mp4,train,ChineseLips
train/wav/001_24_F_JKYS_033.wav,train/mp4/001_24_F_JKYS_033.mp4,train,ChineseLips
train/wav/001_24_F_JKYS_034.wav,train/mp4/001_24_F_JKYS_034.mp4,train,ChineseLips
train/wav/001_24_F_JKYS_035.wav,train/mp4/001_24_F_JKYS_035.mp4,train,ChineseLips
train/wav/001_24_F_JKYS_036.wav,train/mp4/001_24_F_JKYS_036.mp4,train,ChineseLips
train/wav/001_24_F_JKYS_037.wav,train/mp4/001_24_F_JKYS_037.mp4,train,ChineseLips
train/wav/001_24_F_JKYS_038.wav,train/mp4/001_24_F_JKYS_038.mp4,train,ChineseLips
train/wav/001_24_F_JKYS_039.wav,train/mp4/001_24_F_JKYS_039.mp4,train,ChineseLips
train/wav/001_24_F_JKYS_040.wav,train/mp4/001_24_F_JKYS_040.mp4,train,ChineseLips
train/wav/001_24_F_JKYS_041.wav,train/mp4/001_24_F_JKYS_041.mp4,train,ChineseLips
